[0], [0.0, 0.0, 0.0], (1, 3.7249062557433428, 2.826065127127918), 25002.716185483943 MeV, -1
[50], [0.0, 0.0, 0.0], (1, 1.3625788771565865, 2.2262325804885315), 218874.2054779256 MeV, 1
[51], [0.0, 0.0, 0.0], (1, 2.4777835964485213, 2.8582654588233587), 3891.352078889824 MeV, 1
[52], [0.0, 0.0, 0.0], (1, 3.3419518219668554, 2.5593076372923926), 8948.04946408157 MeV, -1
[53], [0.0, 0.0, 0.0], (1, 0.6770990984376226, 2.4722185479114724), 3387.9366124952926 MeV, 1
[54], [0.0, 0.0, 0.0], (1, 1.2460735677862935, 2.60910313365272), 800.6244693619353 MeV, 1
[55], [0.0, 0.0, 0.0], (1, 0.18238057975431232, 1.9715004654756725), 7125.915517076786 MeV, 1
[56], [0.0, 0.0, 0.0], (1, 1.003589031478409, 2.144942280224801), 14892.358046910938 MeV, 1
[57], [0.0, 0.0, 0.0], (1, 0.40484073064318515, 2.9683516638052567), 7228.815530664702 MeV, 1
[58], [0.0, 0.0, 0.0], (1, 4.181663382890814, 2.4115539782731323), 2759.075002111579 MeV, 1
[59], [0.0, 0.0, 0.0], (1, 5.459934928755109, 2.179718694634085), 1568.1956521191742 MeV, -1
[60], [0.0, 0.0, 0.0], (1, 5.115887495986284, 2.321351780913209), 44120.959777712145 MeV, 1
[61], [0.0, 0.0, 0.0], (1, 0.4508392837061024, 2.689471353215706), 735.6215224835349 MeV, -1
[62], [0.0, 0.0, 0.0], (1, 5.995712849072686, 2.755923251279385), 3612.585901667269 MeV, -1
[63], [0.0, 0.0, 0.0], (1, 1.0924671631900926, 2.415608215504575), 2002.9175554350118 MeV, 1
[64], [0.0, 0.0, 0.0], (1, 1.4649878113231232, 2.4284322834597765), 5475.474905883765 MeV, -1
[65], [0.0, 0.0, 0.0], (1, 5.777137352041269, 2.805847896944449), 1714.7993258377905 MeV, -1
[66], [0.0, 0.0, 0.0], (1, 1.552951377335206, 1.9415760450360708), 31901.84669588103 MeV, -1
[67], [0.0, 0.0, 0.0], (1, 1.2099609906924353, 1.94522617426283), 4670.129865515737 MeV, 1
[68], [0.0, 0.0, 0.0], (1, 4.271234230219038, 2.932256181817042), 119.07782173219478 MeV, -1
[69], [0.0, 0.0, 0.0], (1, 3.7452878609080287, 2.5304526402204903), 1095.6163197729213 MeV, -1
[70], [0.0, 0.0, 0.0], (1, 4.830626701574019, 2.2165647735580043), 21.706559079905272 MeV, -1
[71], [0.0, 0.0, 0.0], (1, 5.437109829853242, 2.3315223664523943), 911.007812127904 MeV, -1
[72], [0.0, 0.0, 0.0], (1, 5.528128250238148, 2.5260623348045135), 644.8385621378229 MeV, -1
[73], [0.0, 0.0, 0.0], (1, 2.7306099273663236, 2.344444971130185), 2568.472887814494 MeV, 1
[74], [0.0, 0.0, 0.0], (1, 3.024368553660203, 2.0861664044064323), 11864.784740992338 MeV, 1
[75], [0.0, 0.0, 0.0], (1, 1.163945899226083, 2.752947969725545), 826.5159148176397 MeV, 1
[76], [0.0, 0.0, 0.0], (1, 5.896215053164639, 2.3885218575118707), 737.2308622701898 MeV, 1
[77], [0.0, 0.0, 0.0], (1, 2.292652829370301, 2.689751892138184), 181.69407286929157 MeV, -1
[78], [0.0, 0.0, 0.0], (1, 2.3740390151859057, 2.4910088835659985), 3809.9654161040858 MeV, 1
[79], [0.0, 0.0, 0.0], (1, 4.716608256629032, 2.683853159126733), 157.9283941796997 MeV, -1
[80], [0.0, 0.0, 0.0], (1, 0.10042381832805436, 2.3429818481544094), 7175.7452960632345 MeV, 1
[81], [0.0, 0.0, 0.0], (1, 0.5623650000167473, 1.6455062147228583), 67679.93118272959 MeV, -1
[82], [0.0, 0.0, 0.0], (1, 0.2808800131943032, 2.6244469092237455), 1858.462164255827 MeV, -1
[83], [0.0, 0.0, 0.0], (1, 6.077977480440872, 2.662283266564967), 2581.6343687737394 MeV, 1
[84], [0.0, 0.0, 0.0], (1, 5.6422450976415295, 2.4699335829200546), 1490.3931798877602 MeV, 1
[85], [0.0, 0.0, 0.0], (1, 4.712969486892622, 2.4069873751066084), 311.09334445715433 MeV, -1
[86], [0.0, 0.0, 0.0], (1, 4.580246467567128, 2.5920936995420187), 2379.340533357598 MeV, -1
[87], [0.0, 0.0, 0.0], (1, 4.360634117579809, 2.4460742844992724), 1386.8106289205405 MeV, -1
[88], [0.0, 0.0, 0.0], (1, 5.89755196703745, 2.605184552906521), 195.44307650940624 MeV, 1
[89], [0.0, 0.0, 0.0], (1, 1.1629148940108323, 1.9091233816812117), 1758.2792322126702 MeV, -1
[90], [0.0, 0.0, 0.0], (1, 1.5761039691144543, 2.5539752870392123), 5820.356853041022 MeV, -1
[91], [0.0, 0.0, 0.0], (1, 5.2291034654704855, 3.0509698436522226), 6540.289496489676 MeV, 1
[92], [0.0, 0.0, 0.0], (1, 1.5649607109611505, 2.8047497608230105), 19187.399989252983 MeV, 1
[93], [0.0, 0.0, 0.0], (1, 4.417282357132121, 2.800859346744576), 1635.640758024501 MeV, -1
[94], [0.0, 0.0, 0.0], (1, 1.9678994941352244, 2.9283935708766404), 2439.018229172825 MeV, 1
[95], [0.0, 0.0, 0.0], (1, 1.4287271068121745, 2.7539146976556976), 755.7313878042639 MeV, 1
[96], [0.0, 0.0, 0.0], (1, 3.0117325212095594, 2.0191583170907847), 1830.1145930998787 MeV, -1
[97], [0.0, 0.0, 0.0], (1, 2.7669215047306395, 2.7030279141147346), 361.1416118397209 MeV, -1
[98], [0.0, 0.0, 0.0], (1, 3.512161521741299, 2.443921789525493), 1161.3102993134892 MeV, -1
[99], [0.0, 0.0, 0.0], (1, 5.217629029683817, 2.6369969519212817), 179.40970610037115 MeV, -1
[100], [0.0, 0.0, 0.0], (1, 3.0070811851050134, 2.597912267905354), 4058.5695016592485 MeV, -1
[101], [0.0, 0.0, 0.0], (1, 5.0478249345143755, 2.570992290194477), 149.7992815051879 MeV, -1
[102], [0.0, 0.0, 0.0], (1, 3.03886611873223, 1.9790733515439196), 16789.768874925812 MeV, -1
[103], [0.0, 0.0, 0.0], (1, 6.130350576512281, 2.256794182687967), 5159.844882102021 MeV, -1
[104], [0.0, 0.0, 0.0], (1, 0.7966623419275418, 2.0591438624951985), 4032.3962112902095 MeV, -1
[105], [0.0, 0.0, 0.0], (1, 2.3853999116369806, 2.499806951683918), 190.48490300671423 MeV, -1
[106], [0.0, 0.0, 0.0], (1, 4.298481236352496, 2.635632137249877), 2884.5382117969284 MeV, -1
[107], [0.0, 0.0, 0.0], (1, 3.6948454447529784, 2.28617664153487), 432.7633336320178 MeV, -1
[108], [0.0, 0.0, 0.0], (1, 2.1041848683732773, 2.724866375869956), 2504.613662887195 MeV, -1
[109], [0.0, 0.0, 0.0], (1, 5.53906673366628, 2.937453272079307), 1699.4637386233787 MeV, -1
[110], [0.0, 0.0, 0.0], (1, 0.882948260633535, 2.1334564139689975), 3623.006658700449 MeV, 1
[111], [0.0, 0.0, 0.0], (1, 6.180102635513215, 2.131365236372041), 12291.1570260845 MeV, 1
[112], [0.0, 0.0, 0.0], (1, 4.553216054626726, 2.7903473896876374), 79.60986637875001 MeV, 1
[113], [0.0, 0.0, 0.0], (1, 1.1406981182620326, 2.836634486115234), 2640.2370153325446 MeV, 1
[114], [0.0, 0.0, 0.0], (1, 4.477308937330898, 2.9673761669860195), 1278.4937014431052 MeV, 1
[115], [0.0, 0.0, 0.0], (1, 5.462333431384284, 2.3575856705932776), 1804.4015009254622 MeV, 1
[116], [0.0, 0.0, 0.0], (1, 2.452543867859779, 2.6081854531457416), 864.7487522351247 MeV, 1
[117], [0.0, 0.0, 0.0], (1, 1.5024540601395548, 2.580672748662848), 3514.2187628278516 MeV, 1
[118], [0.0, 0.0, 0.0], (1, 5.6426122121240745, 2.8093939721071672), 1421.7425729071394 MeV, -1
[119], [0.0, 0.0, 0.0], (1, 2.595422551362036, 2.7501632769035678), 647.603927320252 MeV, 1
[120], [0.0, 0.0, 0.0], (1, 0.5967978868613564, 2.5963255696623277), 772.482933552315 MeV, 1
[121], [0.0, 0.0, 0.0], (1, 3.35052411993326, 2.159126779329398), 13605.37041715972 MeV, -1
[122], [0.0, 0.0, 0.0], (1, 0.3007584119260933, 2.011093948929081), 7096.495713137211 MeV, 1
[123], [0.0, 0.0, 0.0], (1, 5.067440104603369, 2.721631638349806), 646.1917334125891 MeV, -1
[124], [0.0, 0.0, 0.0], (1, 0.9210653177745591, 2.456711384356819), 7892.718354316453 MeV, 1
[125], [0.0, 0.0, 0.0], (1, 4.774719246046116, 2.855096911304078), 260.2956396034901 MeV, -1
[126], [0.0, 0.0, 0.0], (1, 3.578567990724393, 2.1145009495743565), 5514.26203810258 MeV, 1
[127], [0.0, 0.0, 0.0], (1, 5.542980598481741, 2.905383189839094), 3680.570157107226 MeV, -1
[128], [0.0, 0.0, 0.0], (1, 1.5491249232186028, 1.977804716769668), 9623.781404145173 MeV, -1
[129], [0.0, 0.0, 0.0], (1, 3.020575178052951, 2.5353288283477244), 5282.795300805127 MeV, 1
[130], [0.0, 0.0, 0.0], (1, 4.186875029782671, 2.160906829770481), 20212.358775144206 MeV, -1
[131], [0.0, 0.0, 0.0], (1, 5.497459757051025, 2.260256179256894), 5252.950598377832 MeV, -1
[132], [0.0, 0.0, 0.0], (1, 5.157973488303533, 2.5182391563955955), 2930.5992238723184 MeV, -1
[133], [0.0, 0.0, 0.0], (1, 5.355828221589345, 2.4115176095903257), 2097.4354014965947 MeV, 1
[134], [0.0, 0.0, 0.0], (1, 5.805459876894452, 2.2859810469839346), 774.2234308399024 MeV, 1
[135], [0.0, 0.0, 0.0], (1, 4.319102158470242, 2.5865934429573563), 770.3285502000666 MeV, -1
[136], [0.0, 0.0, 0.0], (1, 0.9368484644710371, 1.9611183711175435), 5750.773879164472 MeV, -1
[137], [0.0, 0.0, 0.0], (1, 0.6206653247078986, 2.460845989926564), 1375.8002589439852 MeV, -1
[138], [0.0, 0.0, 0.0], (1, 0.8099226936825197, 2.6748086427027253), 635.8585081289717 MeV, -1
[139], [0.0, 0.0, 0.0], (1, 0.7825594486569027, 2.884672263125605), 167.9401951635258 MeV, 1
[140], [0.0, 0.0, 0.0], (1, 5.789237650911627, 2.7958637122489516), 991.6349843661457 MeV, -1
[141], [0.0, 0.0, 0.0], (1, 2.627075115434746, 2.3957731105155884), 306.5643077882966 MeV, 1
[142], [0.0, 0.0, 0.0], (1, 5.475616413656029, 2.5079201604876236), 1217.8517171317824 MeV, -1
[143], [0.0, 0.0, 0.0], (1, 5.653534731481727, 2.7936428832238573), 1357.3635754680495 MeV, -1
[144], [0.0, 0.0, 0.0], (1, 3.460517155719785, 2.795864297005823), 687.6053765185133 MeV, 1
[145], [0.0, 0.0, 0.0], (1, 4.322848638673739, 2.1236981649758073), 1416.9925365259412 MeV, -1
[146], [0.0, 0.0, 0.0], (1, 0.10936775647463204, 2.532822546756007), 885.8645632471818 MeV, 1
[147], [0.0, 0.0, 0.0], (1, 3.0524519142934565, 2.3700418341775413), 812.3546369716811 MeV, -1
[148], [0.0, 0.0, 0.0], (1, 2.632450878122528, 2.2208934757961547), 142.4281440843368 MeV, 1
[149], [0.0, 0.0, 0.0], (1, 1.9865431930641222, 2.9013621900397863), 5645.965549553749 MeV, 1
[150], [0.0, 0.0, 0.0], (1, 4.494134914762528, 3.004440817648497), 2328.3935192953795 MeV, 1
[151], [0.0, 0.0, 0.0], (1, 0.06211320363112627, 2.822413331923683), 4270.422255306517 MeV, -1
[152], [0.0, 0.0, 0.0], (1, 4.0764841806319385, 1.9084866437640284), 1761.4227147052627 MeV, -1
[153], [0.0, 0.0, 0.0], (1, 5.320159755888032, 2.700346734508096), 3997.769063899864 MeV, -1
[154], [0.0, 0.0, 0.0], (1, 6.046828179749689, 2.5813225098994885), 1454.7796289120101 MeV, 1
[155], [0.0, 0.0, 0.0], (1, 2.2569241632917816, 2.8573803862899574), 1246.8970667945455 MeV, 1
[156], [0.0, 0.0, 0.0], (1, 0.055238141964732534, 2.7196303988456343), 185.1360862173507 MeV, 1
[157], [0.0, 0.0, 0.0], (1, 4.254824691984412, 2.3447993131101486), 1521.192811071085 MeV, -1
[158], [0.0, 0.0, 0.0], (1, 5.66016092044684, 2.480002174078666), 6997.712748114449 MeV, 1
[159], [0.0, 0.0, 0.0], (1, 2.7206361522587486, 2.2474825958327966), 2427.6417795931216 MeV, 1
[160], [0.0, 0.0, 0.0], (1, 6.186004162495319, 3.073328175750508), 334.17694384083813 MeV, 1
[161], [0.0, 0.0, 0.0], (1, 4.602496592995528, 2.571247129467835), 1501.0967093474308 MeV, -1
[162], [0.0, 0.0, 0.0], (1, 5.924346697789615, 2.7018105230600886), 507.9088446353506 MeV, 1
[163], [0.0, 0.0, 0.0], (1, 2.387762109488058, 2.7277477884522976), 4918.621118972596 MeV, 1
[164], [0.0, 0.0, 0.0], (1, 1.2554704627719246, 2.7730937479901367), 3662.62466321706 MeV, 1
[165], [0.0, 0.0, 0.0], (1, 3.51177087847645, 2.843816990068781), 103.64805902976664 MeV, 1
[166], [0.0, 0.0, 0.0], (1, 4.522907977390382, 2.33797763898163), 1650.3433110704088 MeV, -1
[167], [0.0, 0.0, 0.0], (1, 5.986157818795466, 2.102122517664375), 2627.2573179966093 MeV, -1
[168], [0.0, 0.0, 0.0], (1, 4.868296224745208, 2.9904896036157385), 2836.088218634427 MeV, 1
[169], [0.0, 0.0, 0.0], (1, 2.1965742096648846, 2.2891122196961535), 1918.2493415809354 MeV, 1
[170], [0.0, 0.0, 0.0], (1, 4.802006917606771, 2.6163290262257215), 1050.54309217685 MeV, 1
[171], [0.0, 0.0, 0.0], (1, 1.3968094476572501, 1.802847440679358), 2424.6501009724207 MeV, -1
[172], [0.0, 0.0, 0.0], (1, 2.7670316387830205, 2.615797548595572), 741.8247284529152 MeV, -1
[173], [0.0, 0.0, 0.0], (1, 1.4884270649679365, 2.568121700261544), 204.9950290653692 MeV, -1
[174], [0.0, 0.0, 0.0], (1, 4.2581783781821585, 2.165541827931973), 18537.2897953587 MeV, 1
[175], [0.0, 0.0, 0.0], (1, 1.5425088161824823, 2.524455473975397), 3316.9257772900314 MeV, -1
[176], [0.0, 0.0, 0.0], (1, 2.9861058272401912, 2.6628081918583573), 1317.051429318637 MeV, 1
[177], [0.0, 0.0, 0.0], (1, 6.019147209389743, 2.4083815120248246), 9785.351472528468 MeV, 1
[178], [0.0, 0.0, 0.0], (1, 1.9051498868536836, 2.4871473378553786), 225.19872867251055 MeV, 1
[179], [0.0, 0.0, 0.0], (1, 3.146188436955886, 2.036229897746645), 402.444595651748 MeV, 1
[180], [0.0, 0.0, 0.0], (1, 2.416314485905989, 2.9226904200935575), 5128.232302679152 MeV, 1
[181], [0.0, 0.0, 0.0], (1, 4.172526840194747, 1.926670688042715), 4176.638645736628 MeV, 1
[182], [0.0, 0.0, 0.0], (1, 0.8997570505847587, 2.806181509283843), 2441.8174036320015 MeV, 1
[183], [0.0, 0.0, 0.0], (1, 4.660351360985593, 2.9673737058549525), 514.8769875563534 MeV, -1
[184], [0.0, 0.0, 0.0], (1, 3.830556863398259, 2.355937349227182), 732.1595828248894 MeV, 1
[185], [0.0, 0.0, 0.0], (1, 2.5291211664201363, 2.2158445038954353), 731.9134721893097 MeV, -1
[186], [0.0, 0.0, 0.0], (1, 4.555629005424052, 2.5937212774660874), 6894.961612170149 MeV, 1
[187], [0.0, 0.0, 0.0], (1, 5.916537866279512, 2.54977800442447), 1645.5786016020775 MeV, 1
[188], [0.0, 0.0, 0.0], (1, 0.764457772178079, 2.4137306763130923), 661.795025669456 MeV, -1
[189], [0.0, 0.0, 0.0], (1, 2.745438763497214, 2.394363300049454), 6275.889821048385 MeV, 1
[190], [0.0, 0.0, 0.0], (1, 3.4683064791170066, 2.8372386619616163), 691.3415748024865 MeV, -1
[191], [0.0, 0.0, 0.0], (1, 1.1401936348545458, 2.352502847585723), 43376.69716550084 MeV, 1
[192], [0.0, 0.0, 0.0], (1, 4.081766816198197, 2.413987314284034), 1707.0225544885643 MeV, -1
[193], [0.0, 0.0, 0.0], (1, 0.7530440192336716, 2.4492599698611626), 10253.267536528949 MeV, -1
[194], [0.0, 0.0, 0.0], (1, 3.325420962119635, 2.9734068136758482), 527.3514620297059 MeV, -1
[195], [0.0, 0.0, 0.0], (1, 2.4013451078322525, 2.565499952703336), 2116.111383913823 MeV, 1
[196], [0.0, 0.0, 0.0], (1, 2.9390837353233845, 2.280960736577196), 3869.682368752737 MeV, -1
[197], [0.0, 0.0, 0.0], (1, 4.2247903237898505, 2.557293474290832), 891.9238343553717 MeV, 1
[198], [0.0, 0.0, 0.0], (1, 6.113064303763153, 1.8013992402209338), 1792.7027231189531 MeV, -1
[199], [0.0, 0.0, 0.0], (1, 0.07852017369030495, 2.4513656441761347), 1033.1445521494875 MeV, 1
[200], [0.0, 0.0, 0.0], (1, 2.6950383197600605, 2.5685985966457086), 6526.690577564847 MeV, 1
[201], [0.0, 0.0, 0.0], (1, 5.917128421690256, 2.330713973975379), 2497.453833011768 MeV, 1
[202], [0.0, 0.0, 0.0], (1, 2.607306264626999, 2.5464927785321994), 1001.0922936536151 MeV, 1
[203], [0.0, 0.0, 0.0], (1, 3.065005266676213, 2.3820737790531767), 2345.2048460605456 MeV, -1
[204], [0.0, 0.0, 0.0], (1, 3.5802501048227393, 2.431232849616816), 14782.178129261907 MeV, -1
[205], [0.0, 0.0, 0.0], (1, 0.7460542497921807, 2.8332479829831683), 17276.53759514945 MeV, 1
[206], [0.0, 0.0, 0.0], (1, 2.88995405778369, 2.472143402971569), 11.862973069592398 MeV, -1
[207], [0.0, 0.0, 0.0], (1, 2.0359389966115735, 2.6073910678478756), 355.99972710877216 MeV, -1
[208], [0.0, 0.0, 0.0], (1, 4.904201251915538, 2.847515467911359), 68.8016155606407 MeV, -1
[209], [0.0, 0.0, 0.0], (1, 0.36248146025209316, 3.1048551557984947), 1610.2758263082333 MeV, 1
[210], [0.0, 0.0, 0.0], (1, 0.44281435164545613, 2.397939756544827), 2284.866853972392 MeV, -1
[211], [0.0, 0.0, 0.0], (1, 0.11983008270547657, 2.630435809494321), 4143.870405685203 MeV, 1
[212], [0.0, 0.0, 0.0], (1, 3.5862450975773172, 2.6133915433980532), 3253.3375347575557 MeV, 1
[213], [0.0, 0.0, 0.0], (1, 4.38317589350348, 2.2742729928585983), 1630.3408230352377 MeV, 1
[214], [0.0, 0.0, 0.0], (1, 3.1965592424303333, 1.9362110444268328), 2562.1308616703686 MeV, 1
[215], [0.0, 0.0, 0.0], (1, 5.195646283620292, 2.8626442296526635), 509.86606622527506 MeV, 1
[216], [0.0, 0.0, 0.0], (1, 5.435909873095259, 2.8801323804269785), 2557.9710170884396 MeV, 1
[217], [0.0, 0.0, 0.0], (1, 0.7594950955930315, 2.8724770394558674), 294.3921489008265 MeV, -1
[218], [0.0, 0.0, 0.0], (1, 2.125597088642298, 2.292801427679045), 1149.609682546585 MeV, -1
[219], [0.0, 0.0, 0.0], (1, 6.109825284791819, 2.790273801089857), 146.60922382106494 MeV, 1
[220], [0.0, 0.0, 0.0], (1, 5.368681806390136, 2.4195304818930605), 379.78019725875606 MeV, -1
[221], [0.0, 0.0, 0.0], (1, 3.151484672795883, 2.433845277633135), 10346.405741576815 MeV, 1
[222], [0.0, 0.0, 0.0], (1, 5.075396610245194, 2.5868020409994434), 4409.389581688951 MeV, 1
[223], [0.0, 0.0, 0.0], (1, 3.067560293313031, 2.2872314642297846), 36494.57664885061 MeV, -1
[224], [0.0, 0.0, 0.0], (1, 4.452602205888075, 2.2641749116914456), 932.211412709005 MeV, 1
[225], [0.0, 0.0, 0.0], (1, 2.525411825060285, 2.438251902114452), 7127.087403026345 MeV, -1
[226], [0.0, 0.0, 0.0], (1, 1.9890274430556687, 2.276017319256872), 7439.445086291388 MeV, -1
[227], [0.0, 0.0, 0.0], (1, 0.1009500114689823, 2.475486350425522), 966.7203254599029 MeV, 1
[228], [0.0, 0.0, 0.0], (1, 5.80578696764399, 2.850763452302608), 3541.05196687245 MeV, -1
[229], [0.0, 0.0, 0.0], (1, 1.0824344801184456, 2.3594389001950757), 9355.611409112611 MeV, 1
[230], [0.0, 0.0, 0.0], (1, 2.797531868793225, 2.587122105784828), 1124.2986038230708 MeV, 1
[231], [0.0, 0.0, 0.0], (1, 0.3837926546433792, 2.1113660666322573), 6006.806330631085 MeV, 1
[232], [0.0, 0.0, 0.0], (1, 3.829559454493854, 3.0136994251270877), 2291.357153142594 MeV, -1
[233], [0.0, 0.0, 0.0], (1, 4.164112036907519, 2.859579247505403), 3600.343198992857 MeV, 1
[234], [0.0, 0.0, 0.0], (1, 4.5395940942321715, 2.3063605409140946), 2378.2685571227144 MeV, -1
[235], [0.0, 0.0, 0.0], (1, 1.480766981736381, 2.1961491645558535), 224.39096539193667 MeV, 1
[236], [0.0, 0.0, 0.0], (1, 0.6694602097408495, 2.4796428796382903), 141.80347651242917 MeV, -1
[237], [0.0, 0.0, 0.0], (1, 5.902612573398318, 2.8100573349278446), 1571.6104835015146 MeV, 1
[238], [0.0, 0.0, 0.0], (1, 2.992283009215651, 2.6247742957675273), 2074.739315879544 MeV, -1
[239], [0.0, 0.0, 0.0], (1, 2.3145053508291333, 2.78839273805386), 963.084140718012 MeV, 1
[240], [0.0, 0.0, 0.0], (1, 4.1747891196141875, 1.7068656231797774), 4467.71368152971 MeV, -1
[241], [0.0, 0.0, 0.0], (1, 1.00229985030672, 2.6979333398432535), 431.06930227733596 MeV, 1
[242], [0.0, 0.0, 0.0], (1, 2.5990010585990824, 2.8625823552838665), 3808.065525320208 MeV, -1
[243], [0.0, 0.0, 0.0], (1, 5.2134378450053145, 2.4075081929589928), 2677.409615113811 MeV, -1
[244], [0.0, 0.0, 0.0], (1, 0.23814425061378053, 2.9844718099503105), 131.43037694767634 MeV, 1
[245], [0.0, 0.0, 0.0], (1, 5.376915664157565, 1.7761117671298272), 123896.64004727227 MeV, 1
[246], [0.0, 0.0, 0.0], (1, 1.7975290430044044, 2.6872500569964957), 464.43540270266254 MeV, 1
